"smuncd","random"
"61031A0",24.3178885688866
"61031A2",23.4460526004381
"61031A4",25.1625039738726
"61031B1",26.6586560220803
"61031B4",26.991039933888
"61031C1",23.6523751765465
"61031C5",24.8354268569579
"61039A0",23.7626900966809
"61039B0",26.4983073644668
"61041B0",24.913366926651
"61079A0",25.8070039829035
"62003A0",26.3560363577077
"62003A4",22.0706584808823
"62003B1",24.9320456205096
"62003C0",29.3138429103932
"62003C1",23.8385011647263
"62006A0",24.382929533648
"62006C0",23.9024634248641
"62006D0",24.9340110577482
"62015A0",24.989276374285
"62015A1",25.5331598865046
"62015B0",25.9536957349637
"62015B3",25.6050692533516
"62015C0",31.4836648223886
"62022B0",25.4060274096352
"62022B1",25.3463223607917
"62022C0",27.0258354641176
"62026A2",25.5867078062206
"62026A3",25.7489284816486
"62026B0",30.7497212487564
"62032A0",27.5305200965361
"62032A1",28.6763260876764
"62032A4",25.3067498592255
"62032B0",25.1036091124877
"62032B1",25.1940239991516
"62032B2",24.2445692128146
"62038A0",27.3960578173608
"62038A1",29.2211310174906
"62038B1",27.1447917226311
"62038B2",22.9647516625694
"62038C0",24.9358238039938
"62038C1",25.8921661699619
"62038D0",29.574112698184
"62051A0",24.9295158621589
"62051A2",25.3966686589768
"62051A3",25.2538571191566
"62051A4",25.7598300634645
"62051A5",26.233803951955
"62051A6",26.4634076505924
"62051A7",26.964626589469
"62051B0",25.3697201987496
"62051D0",27.6358916346284
"62063A0",23.0169906367178
"62063A2",22.6445383559899
"62063A3",21.7344200361986
"62063A4",20.848638737844
"62063A5",16.510565536074
"62063A6",24.6120195067079
"62063A7",25.1643649561946
"62063A8",24.1411571939919
"62063A9",22.0134118758399
"62063B1",27.9328208824101
"62063B2",31.3401221851007
"62063B3",34.8278572729012
"62063B4",25.5444954791137
"62063C0",22.1342325581092
"62063D0",26.0998879912972
"62063D1",27.3634453876628
"62063D3",23.6478203292106
"62063E0",12.6046796177932
"62063E1",20.2125854305376
"62063F0",24.5564145403684
"62063F1",22.9106599612013
"62063F2",29.0725503407569
"62063F3",36.7779883618923
"62063F4",25.9336439967962
"62063F5",25.0733523151081
"62063G0",26.1978468368652
"62063H0",24.8092876258241
"62063H2",21.2283372105072
"62063J2",30.3115033394641
"62063J4",24.3969741941513
"62063K0",26.777165250953
"62063K1",25.0075848381941
"62063L0",26.2268764482787
"62063L1",17.5412342835937
"62063M6",23.3063391446622
"62093A0",30.6865802694436
"62093A1",23.8530386215839
"62093B0",26.7162619855704
"62093C2",25.9065351439807
"62093C3",27.9408485493543
"62096A1",22.7995699704051
"62096A2",29.1987801213165
"62096A3",25.9908456125984
"62096A4",27.1367308310924
"62096A5",19.0947949803007
"62096A7",27.2351880703653
"62096B3",27.1068403428838
"62096B4",27.7339526760718
"62096B5",23.8135595419305
"62096C0",27.3559965169169
"62096C1",29.4631022644273
"62096C5",26.0013364087771
"62096D0",26.7030177054554
"62108A0",26.5947990718317
"62108A1",25.7844513081572
"62108A2",23.7852195724582
"62108B0",24.8877022897124
"62108C0",29.0688779442776
"62108D1",23.8030007244951
"62108F1",23.1648972658247
"62118A0",27.044176648392
"62118A1",25.1193896126972
"62118A2",24.4182438495972
"62118D0",25.7598300634645
"62118F0",25.4743409325142
"62119B2",25.0831614041386
"62119D1",21.1209098874913
"62119D2",24.4160618611893
"62119D3",29.4015149862415
"62119F0",27.6806119265228
"62120A4",27.3638333188652
"62120A8",24.4128197840453
"62120A9",25.0451774976221
"62120B0",32.2384905394013
"62120C0",24.5845522625487
"62120C2",27.8885616991382
"62120C3",33.832639055972
"62120D1",23.3504949456553
"62122A0",28.3981430964461
"62122A2",35.5566333273777
"62122B2",27.2416027562391
"64025A1",25.6421347153953
