"municd","random"
"25005",64.3840900987569
"25014",63.5052061348682
"25015",63.1515414711338
"25018",64.8562684983363
"25023",62.0152736201663
"25031",61.406198215155
"25037",63.3685611291771
"25043",66.3367992316282
"25044",61.4682310336588
"25048",64.9537623717814
"25050",64.1120211878608
"25068",65.5077703927124
"25072",61.2173466287073
"25084",62.5865666382282
"25091",62.3610185624577
"25105",61.0284258681996
"25107",67.4051627206433
"25110",65.6734571208285
"25112",64.6568214008685
"25117",62.352479481389
"25118",64.3584565601094
"25119",66.6556991308872
"25120",61.4681201665307
"25121",56.6575809534895
"25122",60.6483920617152
"25123",61.6584063869217
"25124",63.353110954722
"51004",64.1455976011245
"51008",61.6244711894374
"51009",61.1635777154734
"51014",62.3165538305339
"51017",62.9255023837676
"51019",66.1454093900914
"51065",62.6822400143672
"52010",64.0760069348394
"52011",63.5844773016143
"52012",61.1158668622644
"52015",57.4253107512942
"52018",64.2670685236832
"52021",63.5268028123103
"52022",53.9951149214163
"52025",59.6367209013668
"52043",65.4184422303478
"52048",65.609456880864
"52055",58.2411865566147
"52063",67.0833717079588
"52074",63.3451820977959
"52075",64.2996815295934
"53014",62.1588002646985
"53020",58.7093345568845
"53028",61.6013347815878
"53039",62.2467019503761
"53044",64.5265916151453
"53046",63.1748531997626
"53053",67.4808305705979
"53065",65.9034083457983
"53068",62.386444487776
"53070",60.5239317415266
"53082",63.4213913338003
"53083",62.7173218106528
"53084",67.8687931556391
"54007",66.5094971535455
"54010",63.9927451681454
"55004",72.1375199828623
"55010",65.2502691886873
"55022",63.8326005329876
"55023",61.1174180580339
"55035",62.4967863854552
"55039",59.9043765898712
"55040",61.6484757614366
"55050",66.032495800037
"56001",67.9857280237911
"56005",65.979727443585
"56011",62.4026764153786
"56016",61.9894938279954
"56022",65.2839762483352
"56029",63.3618905795778
"56044",61.9194438119992
"56049",64.7088950513251
"56051",74.296504986139
"56078",62.0552483262013
"56085",65.3027712920496
"56086",63.0419309170996
"56087",58.4104220218638
"56088",62.5658802009561
"57003",60.5345796256078
"57027",63.0403410960901
"57062",62.3017269094523
"57064",62.4270143400855
"57072",63.0441067950059
"57081",56.0199950451518
"57093",59.128125257491
"57094",62.7832736640141
"57095",63.1832893582451
"61003",61.6964710772316
"61010",61.5391468569014
"61019",61.324934215383
"61028",62.3462899133916
"61031",62.2592420112664
"61039",63.1919259117659
"61041",62.8045758490672
"61048",63.8635724743203
"61063",63.739954444023
"61068",68.6382071822639
"61072",64.8777379746172
"61079",63.5520110705217
"61080",67.6284703279899
"62003",62.2108404420403
"62006",63.524222294777
"62009",63.0078998527651
"62011",64.5551766147124
"62015",64.5728727804773
"62022",62.3070364326172
"62026",64.7753657840374
"62027",64.1803804098179
"62032",63.2446069124774
"62038",65.2458574707093
"62051",63.5047136919167
"62060",60.7691831475733
"62063",55.4051562792005
"62079",67.3160061300367
"62093",64.0532560704186
"62096",61.1159790186201
"62099",64.1527118480534
"62100",66.0912257817091
"62108",61.6823951751472
"62118",61.1681336842978
"62119",62.8509944870018
"62120",67.2036758197836
"62121",62.8073483810657
"62122",68.4361649362539
"63001",62.8016247315806
"63003",61.2622770136918
"63004",65.5610203930035
"63020",61.7126526583405
"63023",61.9177479286305
"63035",64.0221226641173
"63038",64.9287123521466
"63045",61.3580156583538
"63046",62.0639040672476
"63048",63.0508281636293
"63049",63.4345012189198
"63057",63.8040143984078
"63058",64.0311573811144
"63061",65.4963809836626
"63072",65.118019406887
"63073",62.3763874528908
"63075",62.6883685298347
"63076",62.7140526093839
"63079",61.7799423642523
"63084",62.1012424242052
"63088",66.8612979702435
"63089",61.1430012832816
"64008",64.4123493250477
"64015",60.8170379408366
"64021",68.1051355243737
"64025",63.1161139017263
"64029",65.1491261437099
"64034",69.3681271345024
"64047",64.423274379788
"64056",61.9360853070632
"64063",62.8739910135544
"64065",65.0111558418622
"64074",63.4626644095133
"64075",62.3851897409901
"64076",64.2272870067671
"81001",64.8976152665497
"81004",68.9281671652464
"81015",67.4387628128938
"82003",68.8315219290274
"82005",63.2694666267498
"82014",63.3194658577808
"82032",65.4083760168977
"82037",61.878223314271
"82038",64.892726331889
"83012",61.3140192970639
"83013",65.0665708347355
"83031",63.6579410842114
"83034",61.4694055139491
"83044",63.4586586542547
"84009",62.7877509190523
"84016",63.2863883963226
"84029",61.2518751399427
"84043",62.0947390919283
"84050",67.3560186949781
"84075",69.8741991789599
"85009",62.0582215207877
"85011",62.3118782975531
"91013",63.4593706969374
"91030",62.3676730969066
"91034",62.7659239748232
"91059",62.6436959216929
"91072",59.3505981940442
"91114",61.2407794457093
"91141",59.3268125942009
"91142",63.2170591945486
"92003",63.0304661981024
"92006",59.4439680657597
"92035",60.4206153374874
"92045",64.4242391829206
"92048",63.0854398793459
"92054",63.4485300078794
"92087",66.5364360114085
"92094",63.7936210379273
"92097",65.4093551117973
"92101",62.6954851659815
"92114",64.2807771041196
"92137",64.8008711711022
"92138",63.5715643651602
"92140",59.7673416539779
"92141",58.5822063726683
"92142",59.1344946501349
"93010",61.0229558073276
"93014",62.4427919610226
"93018",62.7576192251958
"93022",61.8085200937149
"93056",62.7858841735373
"93088",66.5962947997206
"93090",68.7732507404954
