"id","nq","mvinyr","prfuse","csmptv","weight","pvwlbn","pvwlid","pvwlod","prvwel","rwtank","rwtkrp","rwusbn","rwusid","rwusod","rwtuse","otsrid","otsrod","otsodc","mncdsv","munisv","dtcdsv","dstrsv","pvcdsv","prvnsv","dtbtor","xcoord","ycoord","sscdgb","ststgb","smcdgb","mncdgb","munigb","dtcdgb","dstrgb","pvcdgb","prvngb","nbpsnr","nbwkpp","nbchdr","nbadlt","nttper","eqadlt","npnspo","nwprpo","nchdpo","nadtpo","nttppo","eqatpo","rprage","rprgen","rprjob","rped6c","rped4c","income","inceqa","iceqac1","iceqac2","fseaid","dfpay","TEH","dwowsh","dwltyp","dwcsy9","dwcsy6","dwcsy5","livara","lareqa","nbktch","nblvrm","nbbdrm","nbbtrm","nbtoil","pldisw","pmnpol","pmnprp","tmppol","tmpprp","garden","dshwas","dshwrp","wasmch","wasmrp","bath","bathrp","shower","shwrrp","bthshw","btshrp","efshhd","efshrp","eftoil","eftlrp","eftech","efterp","drtoil","drtlrp","hlpwtk","cfdiwq","ppusvl","bdgmtr","lmtmtr","dwelocp","csptdo","cspppd","cspdwo","cspeqa","cspeqo","bill","price1","CVD","CVA","bill70"
1387,27434,2007,"no",115.43,1.060846,"no","no","no","no","no","no","no","no","no","no","no","no","no","83031","La Roche-En-Ardenne","83000","Marche-en-Famenne","80000","Luxembourg","SWDE",239097.830678682,91185.4124971516,"83031C000","Ortho-Centre","83031C0","83031","La Roche-En-Ardenne","83000","Marche-en-Famenne","80000","Luxembourg",0,2,3,2,5,2.4,0,2,3,2,5,2.4,60,"M","(pre)retired","before highschool","before highschool",3750,18750,"modest","modest","no","no",1.221108,"owner - mortgage loan","4 facades","1946-1970","1946-1970","1946-1970",130,54.1666666666667,"1","1","3 or more","1","1","no","no","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","bathtub","bathtub","yes","yes","no","no","yes","yes","no","no","no","neither confident nor suspicious","yes","no","no",0.980769230769231,117.693333333333,63.2493150684932,64.489497716895,131.769406392694,134.353120243531,549.498515,4.76044802044529,2.448,1.745,325.0225
1389,17545,2014,"no",78,3.638142,"no","no","no","no","no","no","no","no","no","no","no","no","no","92094","Namur","92000","Namur","90000","Namur","SWDE",185491.479360261,126391.842481459,"92094B022","Biname","92094B0","92094","Namur","92000","Namur","90000","Namur",0,2,1,2,3,1.8,0,2,1,2,3,1.8,25,"M","worker","technique","vocation",2250,15000,"modest","modest","no","no",1.391917,"renter - social or public","3 facades","1946-1970","1946-1970","1946-1970",86,47.7777777777778,"1","1","3 or more","1","2","no","no","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","bathtub","bathtub","no","no","yes","yes","yes","yes","no","no","no","rather confident","yes","no","no",1,78,71.2328767123288,71.2328767123288,118.721461187215,118.721461187215,375.8177,4.81817564102564,2.448,1.745,325.0225
1390,15408,1983,"no",26,0.633188,"no","no","no","no","yes","no","yes","no","yes","outdoor","no","yes","yes","62063","Liege","62000","Liege","60000","Liege","CILE",237324.339091792,148041.017386171,"62063E112","Plateau","62063E1","62063","Liege","62000","Liege","60000","Liege",1,1,0,2,2,1.5,1,1,0,2,2,1.5,67,"F","(pre)retired","before highschool","before highschool",2750,22000,"modest","average","no","no",0.448678,"owner","2 facades","1919-1945","1919-1945","Before 1945",109,72.6666666666667,"1","1","2","1","1","no","no","no","yes","no","yes","no","no","yes","yes","no","no","yes","no","shower","none","yes","no","no","yes","yes","yes","no","no","no","confident","yes","no","no",0.961538461538462,27.04,35.6164383561644,37.041095890411,47.4885844748858,49.3881278538813,148.063768,5.69476030769231,2.6366,1.745,340.0162
1391,15095,1984,"no",112.87,1.252074,"no","no","no","no","no","no","no","no","no","no","no","no","no","63079","Verviers","63000","Verviers","60000","Liege","SWDE",255030.190030135,141498.848686825,"63079E099","Maison-Bois","63079E0","63079","Verviers","63000","Verviers","60000","Liege",1,3,0,4,4,2.5,1,2.25,0,3.25,3.25,2.125,70,"M","(pre)retired","highschool","highschool",1250,6000,"precarious","precarious","no","no",3.584132,"renter - social or public","2 facades","1981-1990","1971-1990","1971-1990",110,44,"1","1","3 or more","1","2","no","no","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","bathtub","bathtub","yes","no","yes","no","yes","no","no","no","no","confident","yes","no","no",1,112.87,77.3082191780822,95.1485774499473,123.693150684932,145.521353746978,537.619731,4.76317649508284,2.448,1.745,325.0225
1393,24397,2001,"no",108.82,0.820389,"no","no","no","no","yes","no","yes","yes","yes","both","yes","yes","no","57081","Tournai","57000","Tournai","50000","Hainaut","SWDE",79345.2222374787,148184.064363652,"57081V032","Bruyere - Epinette","57081V0","57081","Tournai","57000","Tournai","50000","Hainaut",0,4,1,4,5,2.8,0,4,1,4,5,2.8,43,"M","state employee","university","university",4250,18214.2857142857,"modest","modest","no","no",1.017308,"owner - mortgage loan","4 facades","2001-2005","2001 and after","2001 and after",180,64.2857142857143,"1","1","3 or more","1","2","no","no","no","no","no","yes","yes","no","yes","yes","yes","no","yes","no","both","none","no","no","yes","no","yes","no","no","no","no","confident","yes","no","no",0.961538461538462,113.1728,59.627397260274,62.0124931506849,106.477495107632,110.736594911937,518.827123,4.76775521962875,2.448,1.745,325.0225
1394,20397,1996,"no",11.2,0.390391,"no","no","no","no","yes","no","yes","yes","yes","both","yes","yes","no","91030","Ciney","91000","Dinant","90000","Namur","SWDE",202508.51970974,109915.650250307,"91030A01-","Saint-Hubert","91030A0","91030","Ciney","91000","Dinant","90000","Namur",0,1,0,1,1,1,0,1,0,1,1,1,64,"M","(pre)retired","technique","vocation",1750,21000,"modest","average","no","no",0.603503,"owner","4 facades","1991-2000","1991-2000","1991-2000",162,162,"1","1","3 or more","1","1","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","bathtub","none","no","no","no","no","no","no","no","no","no","confident","yes","no","no",0.980769230769231,11.4196078431373,30.6849315068493,31.286596830513,30.6849315068493,31.286596830513,126.73572,11.3156892857143,2.448,1.745,325.0225
1395,25343,2006,"no",89.46,0.796554,"no","no","no","no","yes","no","no","no","no","no","no","no","no","92137","Sambreville","92000","Namur","90000","Namur","SWDE",168703.33573164,127712.877002902,"92137A22-","La Sarthe","92137A2","92137","Sambreville","92000","Namur","90000","Namur",0,2,2,2,4,2.1,0,2,2,2,4,2.1,40,"M","independent","university","university",4750,27142.8571428571,"average","higher","no","no",0.752621,"owner - mortgage loan","4 facades","1991-2000","1991-2000","1991-2000",110,52.3809523809524,"1","1","3 or more","1","0","no","no","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","both","none","yes","yes","yes","no","yes","yes","no","no","no","confident","yes","no","no",0.980769230769231,91.2141176470588,61.2739726027397,62.4754230459307,116.712328767123,119.000805801773,428.993819,4.79537021014979,2.448,1.745,325.0225
1396,19935,2008,"no",148,1.134934,"no","no","no","no","no","no","no","no","no","no","no","no","no","61031","Huy","61000","Huy","60000","Liege","CILE",205703.235658634,132965.892587698,"61031B40-","Gives-Centre","61031B4","61031","Huy","61000","Huy","60000","Liege",0,4,2,4,6,3.1,0,4,2,4,6,3.1,46,"M","worker","before highschool","before highschool",3250,12580.6451612903,"precarious","modest","no","yes",1.803386,"owner - mortgage loan","3 facades","Before 1875","Before 1919","Before 1945",130,41.9354838709677,"1","0","3 or more","1","1","yes","no","no","yes","no","yes","yes","no","yes","no","no","no","yes","yes","shower","shower","no","no","no","no","no","no","no","no","no","confident","yes","no","no",0.980769230769231,150.901960784314,67.5799086757991,68.9050049243442,130.799823243482,133.364525660021,703.320388,4.75216478378378,2.6366,1.745,340.0162
1399,25992,1980,"no",149.08,1.95462,"no","no","no","no","no","no","no","no","no","no","no","no","no","57081","Tournai","57000","Tournai","50000","Hainaut","SWDE",86724.1989893244,142975.498372755,"57081J101","Ramecroix-Centre","57081J1","57081","Tournai","57000","Tournai","50000","Hainaut",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"renter - private sector",NA,"1971-1980","1971-1990","1971-1990",50,NA,"1","0","1","1","1","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","shower","none","no","no","no","no","no","no","no","no","no","rather confident","yes","no","no",NA,NA,NA,NA,NA,NA,705.639562,4.73329462033807,2.448,1.745,325.0225
1400,28362,1976,"no",53.09,0.503289,"no","no","no","no","yes","no","yes","yes","yes","both","yes","yes","no","53070","Saint-Ghislain","53000","Mons","50000","Hainaut","SWDE",111656.807995627,130795.423593584,"53070B031","Coron D'en Haut","53070B0","53070","Saint-Ghislain","53000","Mons","50000","Hainaut",0,2,0,2,2,1.5,0,2,0,2,2,1.5,64,"M","state employee","higher not university","university",4250,34000,"average","higher","no","no",0.510258,"owner","4 facades","1971-1980","1971-1990","1971-1990",130,86.6666666666667,"1","1","1","1","1","no","no","no","no","no","yes","yes","no","yes","no","yes","no","yes","no","both","none","no","no","yes","no","yes","no","no","no","no","confident","yes","no","no",0.884615384615385,60.0147826086957,72.7260273972603,82.212030970816,96.9680365296804,109.616041294421,260.231564,4.90170585797702,2.448,1.745,325.0225
