"sscode","random"
"62003A001",53.8001115158928
"62003A40-",47.9880648080491
"62003A42-",50.0278026926652
"62003B11-",51.118012015901
"62003C001",51.9265680873087
"62003C010",59.2466483051912
"62003C0AA",54.7225011617321
"62003C10-",49.2910590411967
"62006A001",50.2325329898687
"62006C000",49.2246729087798
"62006D091",51.2027578929764
"62009A001",55.0968151086678
"62009A19-",51.6615256469135
"62009A2PA",49.6855791695319
"62011A000",53.7089700837383
"62011C00-",51.8559536177396
"62011D01-",58.1183564109928
"62015A01-",50.6730689235187
"62015A0AJ",53.1231895660383
"62015A101",52.1173569472137
"62015B082",53.1156620240493
"62015B300",52.0320119020872
"62015C0PN",62.3843076169215
"62022B000",52.5250400796342
"62022B034",52.1811654812917
"62022B111",49.9799168761187
"62022B143",54.4486123747409
"62022C01-",52.5093469203663
"62022C04-",54.8604186350983
"62026A200",52.2603715505892
"62026A300",52.9986847206933
"62026B00-",60.9455914672069
"62027A000",55.3418275402828
"62027F0AA",54.0890441938647
"62027G000",45.9340083244018
"62032A00-",47.5867468330772
"62032A030",62.5036724608656
"62032A100",57.4788555774089
"62032A422",51.8907776766651
"62032B0BN",51.2975029005796
"62032B121",51.7267691367004
"62032B22-",49.6505843443205
"62038A032",55.5691370816505
"62038A170",58.8823017110945
"62038B101",54.6606821071631
"62038B200",47.8206711965703
"62038C01-",51.206267921354
"62038C11-",52.9180838612065
"62038D001",56.6753057577987
"62038D012",55.5190999268145
"62038D023",54.2101964982764
"62051A002",48.906087263483
"62051A070",55.0851412942714
"62051A222",51.8008194240018
"62051A30-",62.7716366615945
"62051A319",49.2302233620128
"62051A33-",46.9319337306164
"62051A34-",47.2844963030348
"62051A411",43.3677396130503
"62051A50-",51.2690139720407
"62051A60-",53.8381939817763
"62051A70-",53.9247249437566
"62051A77-",53.0862003014616
"62051B001",55.594979218403
"62051B032",50.0122924199536
"62051B042",50.9211107161427
"62051C000",58.3626969800949
"62051D01-",55.8628091409598
"62060G01-",42.8074268530936
"62060G02-",53.6099542531137
"62063A04-",47.8274709377866
"62063A22-",49.2402366365665
"62063A232",49.9434745803786
"62063A30-",59.9955355245568
"62063A32-",51.8353772158543
"62063A331",36.7141038481205
"62063A401",47.2978169977041
"62063A41-",48.0049203057002
"62063A520",49.3162294193743
"62063A53-",51.8092478889904
"62063A540",36.5034463096672
"62063A55-",57.5286092771407
"62063A601",49.4391416656274
"62063A61-",55.3599939397558
"62063A62-",51.2578232877749
"62063A65-",52.6077715714939
"62063A70-",54.1813289854365
"62063A71-",50.3675169155402
"62063A812",49.8516701660994
"62063A93-",46.0233496434679
"62063B11-",52.8668003645471
"62063B12-",56.4768100977021
"62063B20-",59.6621811567051
"62063B211",51.5806897345654
"62063B221",57.2375575156114
"62063B30-",51.6791798914438
"62063B31-",67.8950963547765
"62063B32-",49.8971994729165
"62063B41-",52.3172387282668
"62063C01-",46.6830640104735
"62063D01-",53.4469657847454
"62063D121",55.0908893348024
"62063D301",48.3623610773834
"62063E00-",34.4726853797978
