"municd","random"
"25005",41.5249546259479
"25014",42.2359517711699
"25015",40.6107667635538
"25018",42.2429449640875
"25023",38.7403328060249
"25031",39.3099306068206
"25037",40.8057027632169
"25043",43.828244983994
"25044",39.8230146180403
"25048",41.8442346840809
"25050",41.5913995120774
"25068",43.2951677566479
"25072",37.264611156936
"25084",40.2161088117859
"25091",39.8019901634903
"25105",38.6431614346645
"25107",43.3123286988527
"25110",42.5455658052858
"25112",42.4484415873295
"25117",39.760889630695
"25118",42.3294484470394
"25119",45.8203865675886
"25120",39.2886103999416
"25121",35.9773742331566
"25122",37.202352636482
"25123",38.6834786574775
"25124",41.3192120652176
"51004",40.5917326999865
"51008",39.3183696341918
"51009",51.1254820801369
"51014",39.2486533476678
"51017",40.2459312163337
"51019",43.5712374450144
"51065",39.3681883721301
"52010",39.9720507884653
"52011",40.6497858110931
"52012",38.5178019258526
"52015",34.9315972634032
"52018",41.5216658673633
"52021",41.4298154934801
"52022",33.9335054636391
"52025",36.2796140657098
"52043",41.7514523978568
"52048",42.8378111244482
"52055",37.0894236046539
"52063",42.259259926946
"52074",41.2804700390096
"52075",41.3737247175795
"53014",39.8627192032915
"53020",36.2612067215111
"53028",38.9110264395638
"53039",38.0378148621579
"53044",41.8390272846553
"53046",40.5094346215175
"53053",43.1309076577211
"53065",42.912629685863
"53068",40.7906133599799
"53070",36.2637398048841
"53082",40.8496883789013
"53083",40.3665818577889
"53084",45.1893943409947
"54007",42.5766260440094
"54010",40.3231859539312
"55004",44.9914042751261
"55010",41.2895836472416
"55022",40.2628948330032
"55023",38.742357945195
"55035",40.5578584718714
"55039",37.2804574746039
"55040",37.4514619475554
"55050",43.2842415535998
"56001",45.9567603085798
"56005",43.8919246383703
"56011",40.6388484458832
"56016",39.4451193250115
"56022",43.0980290432656
"56029",39.5176765786939
"56044",39.5093087968906
"56049",41.7913544838111
"56051",52.9227994474377
"56078",40.6723633914642
"56085",43.7820994199874
"56086",39.471091973627
"56087",36.3969133784445
"56088",40.3178941270942
"57003",37.0412561442289
"57027",41.077302222499
"57062",38.8811286881171
"57064",41.3161889730723
"57072",39.9052414964466
"57081",35.4689325045488
"57093",38.4807324404988
"57094",39.1165574139413
"57095",39.0669921000095
"61003",39.059278977646
"61010",38.9955316779054
"61019",39.6722632101798
"61028",39.9616809352026
"61031",38.8743889233579
"61039",40.7812222762227
"61041",40.4376198713881
"61048",40.1794516336624
"61063",40.8612318954105
"61068",44.7185448905956
"61072",42.0695519196847
"61079",41.1475655064236
"61080",45.0248529785948
"62003",39.4543029322625
"62006",40.8737297694024
"62009",40.0442087083549
"62011",41.525065953445
"62015",41.1145167040348
"62022",39.8233351623732
"62026",41.5916798391568
"62027",40.7222490805452
"62032",40.6268251239265
"62038",42.0151984876599
"62051",40.3653924433255
"62060",38.7859684363327
"62063",34.6310069331364
"62079",43.8571373115169
"62093",40.4167252614024
"62096",38.6117328061716
"62099",40.9475956345508
"62100",43.0005297221828
"62108",38.6986217115375
"62118",38.9307461107813
"62119",39.9287882262123
"62120",58.9148441640774
"62121",40.2338033275972
"62122",45.9483491088751
"63001",40.5331004571931
"63003",38.9605521625535
"63004",42.1212958216831
"63020",39.0630770774362
"63023",39.7689676360628
"63035",41.5039699676001
"63038",42.6761486349895
"63045",40.5078155734261
"63046",39.4085814112174
"63048",40.1155432225822
"63049",40.6622534309946
"63057",40.4963396535947
"63058",41.0550009062738
"63061",42.898921965263
"63072",42.0363010925806
"63073",40.0831564936146
"63075",39.8126693487252
"63076",40.0998450787121
"63079",39.8447926127387
"63084",37.3394089987555
"63088",43.0026902375131
"63089",39.0675969407532
"64008",42.2254679917304
"64015",38.1185170550772
"64021",44.7285834834516
"64025",40.3736607522026
"64029",42.271691669236
"64034",45.3935420030068
"64047",41.9109287483212
"64056",40.5502752882865
"64063",40.6529090741746
"64065",42.7652823124274
"64074",40.7583101286543
"64075",40.0635019294063
"64076",40.7630011568288
"81001",44.2957560164304
"81004",45.1597857900813
"81015",43.58565356921
"82003",43.4792492810336
"82005",40.5031026989175
"82014",40.8379993685463
"82032",42.8736364374439
"82037",39.8839453510173
"82038",42.5751392108636
"83012",39.3678103208089
"83013",42.5662646743034
"83031",40.9603501225998
"83034",38.5528207941188
"83044",40.7110134178568
"84009",40.022832156424
"84016",41.4722668194515
"84029",38.8984784438422
"84043",39.992899406357
"84050",43.1220148177364
"84075",44.0288976560484
"85009",39.3819530932179
"85011",38.774835128053
"91013",40.1019007048917
"91030",39.8817414472129
"91034",39.6523561996964
"91059",40.0401369359699
"91072",37.5229828213477
"91114",39.0065224952191
"91141",37.0096732881468
"91142",40.6311389831759
"92003",39.4600061467666
"92006",37.9851090521087
"92035",37.7894659093535
"92045",41.3331330565002
"92048",40.4994359277761
"92054",39.2086265599069
"92087",42.9380985460854
"92094",41.1844374894977
"92097",44.3541318495005
"92101",40.2868458203216
"92114",41.7584379271382
"92137",41.0878534946044
"92138",40.6818183876144
"92140",37.4590863154622
"92141",36.4303105107925
"92142",37.006236108602
"93010",39.0329201069223
"93014",39.4461541297997
"93018",40.350294665189
"93022",38.9948919035925
"93056",40.4997113733043
"93088",46.4839372542205
"93090",45.7113604174876
