"id","(Intercept)","nadtpo1","nchdpo","iceqac2precarious","iceqac2modest","iceqac2higher","prvweloutdoor","prvwelindoor","prvwelboth","rwtuseoutdoor","rwtuseindoor","rwtuseboth","livars","gardenyes","pmnpolyes","bathyes","LS.influence$hat","LS.dffits","LS.Cd"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
29,-0.0311314419800237,0.00120886289221637,0.0275781962846442,0.00128764358128361,0.0313442916320771,0.00191964380476549,-0.00488547732036263,-0.00460719908194401,-0.00132578524273389,0.059338834259175,0.000816148408895144,0.00142423530233668,-0.0271441633060714,0.00505155804616283,-0.00136836656215134,0.0219040497753807,0.00460337009049143,0.0994527165333318,0.000617763877204402
34,0.000596771136772634,0.00245136672860169,-0.00358689558105199,-0.00477824668024488,-0.00866885356298402,-0.00622313929611999,-0.000815028808860563,0.000201455011500685,-0.00159580412419661,-0.0037102917325447,0.0661413633273634,-0.00399853364533264,0.00409671602456938,0.00697506580777804,-0.00126702629988977,0.00265215363528337,0.0422724928762258,0.0688987124308944,0.000296845371181168
36,0.0156673915264082,-0.000827188784804261,0.0117885322057476,0.0207375611377087,-0.000765026196304086,0.000975180715887716,-0.000621028914467348,0.000148243615461203,0.000940965295879128,0.000405377674428198,-0.000860063709112758,0.000324028604928127,-0.00384390442905682,-0.012181076019197,0.00091085893901955,-0.0192261519344937,0.0191702938357638,0.0413426685243592,0.000106883389393589
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
39,0.0141552158556982,-0.00492154659491592,0.0150695678388262,0.00183091357300693,-0.0201531722324128,0.000220343010186021,0.00801606330002644,0.00211841008112092,0.0110084159687551,0.0287961872531979,0.00424980329007009,0.0253334781141925,0.0134290153406564,-0.0287486911507686,-0.00115453441302683,-0.0167786970781785,0.00309975798217855,-0.0567620961442108,0.000201366685289901
42,0.0831605115046728,-0.0358198516737253,-0.0443115064507097,0.0310963074993424,0.086802094026141,-0.00411513686256223,-0.0199589221593526,-0.0122385115461937,-0.0169522799437267,0.124264585055096,-0.00214904818314508,-0.0112970448233503,0.139268606510882,0.000865409046856375,-0.0286599556595013,-0.160674194201683,0.0180364178374009,0.279847177926858,0.00488527381452377
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
46,0.0242829425077081,-0.0123101200703494,-0.00922008332129791,0.00130807653217893,0.0246302731674926,0.00279851955165009,0.229120450642434,-0.000829291270482775,-0.0062642577466783,-0.0244718860533746,-0.000987610592977143,-0.0157457417874759,0.0191783601807205,0.0192468359232106,-0.0111503326817566,-0.0560308575865795,0.0281427074005706,0.247937819472098,0.00383953659968608
47,0.0051043950862233,0.0031077630685823,-0.00567529709566898,-0.0132693919626897,-0.0165560409488567,-0.0119215818732084,-0.00244720906605214,-4.57147314260657e-05,-0.00337757206476931,-0.0117755417034792,-0.00207418600428813,-0.0108830913663137,-0.00949295770746286,0.0115208298564724,-0.000105693886765502,0.0078968132506684,0.00278994616541346,0.0279609302621369,4.88840711636599e-05
48,0.00166678684109413,0.00143111368310136,-0.00910501287914295,-0.000638026241533649,-0.0030553901085255,-0.000393283506498782,2.49590865140825e-05,0.000252557673553256,0.000226848288437814,1.87187778041249e-06,-0.000176462007470918,-0.00475567190864079,-0.00214888880002322,0.000494903239135023,0.00145270335690012,-0.000139980274181903,0.00824388379055036,-0.0122243845845666,9.34512196087709e-06
50,0.000330723357631166,0.00497928052177764,0.00246216260138188,-0.000900305804186346,-0.00393904589330792,0.000626880176618019,0.00132774838893397,0.0004769191016964,0.00198470514684931,0.00504181470665504,0.000483808705227847,0.00498035477362067,-0.00130502751902348,-0.00548316443208646,0.000233463763134525,-0.00234099152906714,0.00158742809158886,-0.0110365615253714,7.61699297201592e-06
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
53,0.0270818766347566,0.055137790382886,-0.013655857052145,-0.0121824172146419,0.0183283546769371,0.00275988006461949,-0.00536273043098202,-0.00232893829524022,-0.00559062198851557,-0.00523812913962371,-0.00886703899800693,-0.00313899536002921,0.0154487051547095,-0.0385655792386925,-0.00268772284441823,-0.0328762256384386,0.00590772601514025,0.0853723049737841,0.000455466239924119
54,-0.0067649550548648,0.0102340036257612,0.000490080596600424,-0.00173624874020742,-0.00479514114081628,0.000104236497427202,0.00021740001186662,0.000149440066880416,-0.0455310252344768,0.00143062972809271,-0.00065324670295618,0.00149733639162689,2.65161935066903e-05,-0.00380113677056095,-0.000435964690100716,0.0127646216377701,0.0226308822225593,-0.0502752675615764,0.000158057984071253
55,0.0544469155121445,-0.113156412891928,-0.0403571745298227,0.213086717370544,-0.0127581378948497,-0.0184459254368059,-0.002055659702434,-0.00235324908243877,0.00841289185113035,0.000763791909564858,-0.00623208211496277,-0.00405708326353473,-0.0742428669500837,-0.0972525778898001,0.0275111018437772,0.0990963277125223,0.0283761926056018,0.382660892935309,0.00913027749298876
56,-0.00933780610533179,-0.00384612567303689,0.00804948283283168,0.00511556899386231,-0.0127817712462348,0.00188879093299608,0.00187344858596651,0.00215562771110069,0.00198673233133365,0.00325355572004999,0.00419323327501336,0.00297105803470621,0.00122528606159697,0.0229352972795004,-0.00111303444439791,-0.0128408853440464,0.00401850074689837,-0.0398794163934918,9.94334258255337e-05
57,-0.0169744247332745,0.0158608094213056,0.0261140348030589,-0.00272428729706421,0.0107995567941558,0.00299556532813984,-0.00174590247166617,-0.00141484602822194,-0.000347743221464712,0.0216697713443696,-0.00026408265473931,0.00131177253541525,-0.0143248336197873,-0.00137933710033694,-0.00103978058072216,0.00717233040560358,0.00615235000309722,0.0468828655846303,0.000137427329182004
58,0.00524471321626663,0.00219308528645055,-0.00153285551357994,-0.00542055045763484,-0.00575999085223338,-0.0042514910746742,-0.000120485290644878,-0.000149392082324487,-3.40624972288335e-05,-0.000644454047942663,-0.00102005460957752,-0.000691504107078022,-0.00193649853641382,-0.00490223464205151,6.63160548482848e-05,0.00301104353143326,0.00219647521313199,0.00983317909051522,6.04661378879567e-06
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
60,0.020426700601343,-0.00473561204937478,0.013399919136051,-0.0250382644475729,-0.0371277588548794,-0.0311823026277873,-0.000246816605611786,-0.000580307518408989,-0.00193886353676483,-0.0015963173134018,-0.00135110051203297,0.0379273435211704,0.019281003167089,-0.00310551237716991,-0.0122588406582377,0.00854889521733622,0.00433774827211019,0.0748742275192019,0.000350325268901969
64,-0.014798996438577,0.0102527304019549,-0.0157302744298089,-0.00195727082046979,-0.000378525740261372,0.0622729320622599,-0.00770633884805733,0.000289511633750182,-0.0127283673180369,-0.0381033057398841,-0.00485560896643638,-0.0359821480391414,-0.0029741750684118,0.0349421943312778,-0.00436050236788238,0.0159678496504134,0.00420082071200358,0.0963593508178354,0.000579910581684614
