"year","dtbtor","CVD","CVA","value18","CVA18","CVD18","bill70","bill7018"
2015,"Butgenbach",2.1923,1.935,1.046638376,2.02524525756,2.2945453117048,318.79235,333.660307485224
2016,"Butgenbach",2.3819,2.115,1.040396,2.20043754,2.4781192324,347.22155,361.2479117338
2017,"Butgenbach",2.3819,2.365,1.022,2.41703,2.4343018,365.77155,373.8185241
2012,"Chimay",1.36,1.475,1.09217087138862,1.61095203529821,1.48535238508852,218.4925,238.631144116878
2013,"Chimay",1.36,1.565,1.06449402669456,1.66593315177699,1.4477118763046,225.1705,239.692652237827
2014,"Chimay",1.98,1.745,1.05187156788,1.8355158859506,2.0827057044024,287.8165,302.745993116734
2015,"Chimay",1.98,1.935,1.046638376,2.02524525756,2.07234398448,301.9145,315.995301970852
2016,"Chimay",2.23,2.115,1.040396,2.20043754,2.32008308,335.1455,348.684037618
2017,"Chimay",2.23,2.365,1.022,2.41703,2.27906,353.6955,361.476801
2012,"Chiny",1.94,1.475,1.09217087138862,1.61095203529821,2.11881149049392,264.6025,288.991142996607
2013,"Chiny",2.7,1.565,1.06449402669456,1.66593315177699,2.87413387207531,331.7005,353.093200901599
2014,"Chiny",2.7,1.745,1.05187156788,1.8355158859506,2.840053233276,345.0565,362.955121662185
2015,"Chiny",2.7,1.935,1.046638376,2.02524525756,2.8259236152,359.1545,375.904882613092
2016,"Chiny",2.7,2.115,1.040396,2.20043754,2.8090692,372.5105,387.558434158
2017,"Chiny",2.7,2.365,1.022,2.41703,2.7594,391.0605,399.663831
2012,"CIESAC",1.9787,1.475,1.09217087138862,1.61095203529821,2.16107850321666,267.67915,292.351370508065
2013,"CIESAC",NA,1.565,1.06449402669456,1.66593315177699,NA,NA,NA
2014,"CIESAC",1.935,1.745,1.05187156788,1.8355158859506,2.0353714838478,284.239,298.982922582643
2015,"CIESAC",2.3466,1.935,1.046638376,2.02524525756,2.4560416131216,331.0592,346.499263447859
2016,"CIESAC",2.3466,2.115,1.040396,2.20043754,2.4413932536,344.4152,358.3281964192
2017,"CIESAC",2.348,2.365,1.022,2.41703,2.399656,363.0765,371.064183
2012,"CILE",2.525,1.475,1.09217087138862,1.61095203529821,2.75773145025626,311.11,339.785279797713
2013,"CILE",2.6366,1.565,1.06449402669456,1.66593315177699,2.80664495078288,326.6602,347.72783165885
2014,"CILE",2.6366,1.745,1.05187156788,1.8355158859506,2.77336457587241,340.0162,357.6533733986
2015,"CILE",2.8086,1.935,1.046638376,2.02524525756,2.9395885428336,367.7882,384.941244359963
2016,"CILE",2.8086,2.115,1.040396,2.20043754,2.9220562056,381.1442,396.5409011032
2017,"CILE",2.8086,2.365,1.022,2.41703,2.8703892,399.6942,408.4874724
2012,"Erezee",1.8777,0,1.09217087138862,0,2.05076924520641,150.20465,164.049143477122
2013,"Erezee",1.8777,0,1.06449402669456,0,1.99880043392438,150.20465,159.891952706747
2014,"Erezee",1.8777,0,1.05187156788,0,1.97509924300828,150.20465,157.996000698367
2015,"Erezee",2.1243,0,1.046638376,0,2.2233739021368,169.80935,177.728982313616
2016,"Erezee",2.4105,0,1.040396,0,2.507874558,192.56225,200.340994651
2017,"Erezee",2.4105,0,1.022,0,2.463531,192.56225,196.7986195
2012,"Etalle",1.67,1.475,1.09217087138862,1.61095203529821,1.82392535521899,243.1375,265.54769524225
2013,"Etalle",1.67,1.565,1.06449402669456,1.66593315177699,1.77770502457992,249.8155,265.927107525715
2014,"Etalle",1.67,1.745,1.05187156788,1.8355158859506,1.7566255183596,263.1715,276.822618326332
2015,"Etalle",1.67,1.935,1.046638376,2.02524525756,1.74788608792,277.2695,290.200899194332
2016,"Etalle",1.67,2.115,1.040396,2.20043754,1.73746132,290.6255,302.365607698
2017,"Etalle",1.67,2.365,1.022,2.41703,1.70674,309.1755,315.977361
2012,"Fauvillers",1.31,1.475,1.09217087138862,1.61095203529821,1.43074384151909,214.5175,234.289764903108
2015,"Fauvillers",2.2155,1.935,1.046638376,2.02524525756,2.318827322028,320.63675,335.590727305918
2012,"Gedinne",1.3348,1.475,1.09217087138862,1.61095203529821,1.45782967912953,216.4891,236.443088993138
2013,"Gedinne",1.3348,1.565,1.06449402669456,1.66593315177699,1.4208866268319,223.1671,237.560044904748
2014,"Gedinne",1.3348,1.745,1.05187156788,1.8355158859506,1.40403816880622,236.5231,248.791924036838
2015,"Gedinne",1.3348,1.935,1.046638376,2.02524525756,1.3970529042848,250.6211,262.309661095334
2016,"Gedinne",2.23,2.115,1.040396,2.20043754,2.32008308,335.1455,348.684037618
2017,"Gedinne",2.23,2.365,1.022,2.41703,2.27906,353.6955,361.476801
2012,"Gouvy",1.66,1.475,1.09217087138862,1.61095203529821,1.81300364650511,242.3425,264.679419399496
2013,"Gouvy",1.77,1.565,1.06449402669456,1.66593315177699,1.88415442724937,257.7655,274.389835037937
2014,"Gouvy",1.77,1.745,1.05187156788,1.8355158859506,1.8618126751476,271.1215,285.184997290977
2015,"Gouvy",1.77,1.935,1.046638376,2.02524525756,1.85254992552,285.2195,298.521674283532
2016,"Gouvy",2.2,2.115,1.040396,2.20043754,2.2888712,332.7605,346.202693158
2017,"Gouvy",2.2,2.365,1.022,2.41703,2.2484,351.3105,359.039331
2012,"Habay",1.54,1.475,1.09217087138862,1.61095203529821,1.68194314193847,232.8025,254.260109286449
2013,"Habay",1.54,1.565,1.06449402669456,1.66593315177699,1.63932080110962,239.4805,254.925561759827
2014,"Habay",1.54,1.745,1.05187156788,1.8355158859506,1.6198822145352,252.8365,265.951525672292
2015,"Habay",2.13,1.935,1.046638376,2.02524525756,2.22933974088,313.8395,328.476464604652
2016,"Habay",2.18,2.115,1.040396,2.20043754,2.26806328,331.1705,344.548463518
