"id"	"parcarea"	"geometry"
"299"	55.4307	"c(120702.149, 126853.491)"
"304"	225.1172	"c(115308.203, 121653.598)"
"322"	241.0653	"c(120208.809, 126096.779)"
"328"	2865.2127	"c(116088.128, 121588.402)"
"358"	148.0498	"c(115291.732, 121666.202)"
"373"	939.7545	"c(132087.541, 127628.323)"
"386"	195.9268	"c(113487.663, 125260.5)"
"411"	933.1237	"c(140606.556, 102243.251)"
"418"	581.763	"c(127157.859, 127866.445)"
"422"	1339.9935	"c(134282.717, 124934.452)"
"424"	947.9632	"c(114816.819, 122144.037)"
"428"	618.6832	"c(131252.655, 124442.917)"
"432"	562.6433	"c(131044.868, 121314.584)"
"468"	53.8908	"c(135385.977, 122623.076)"
"474"	564.3343	"c(107776.592, 124555.684)"
"500"	528.77	"c(140085.041, 121896.381)"
"560"	710.3606	"c(122489.27, 120745.885)"
"571"	252.6988	"c(127647.268, 115712.351)"
"574"	204.2067	"c(118436.457, 124963.743)"
"602"	291.0016	"c(137913.923, 124662.32)"
"620"	652.8035	"c(117378.09, 125217.736)"
"635"	52.5166	"c(111835.914, 125759.028)"
"645"	870.3511	"c(114707.417, 122459.825)"
"654"	327.1727	"c(115979.246, 125459.077)"
"675"	807.4847	"c(117371.733, 113670.944)"
"676"	747.0164	"c(106336.32, 119260.601)"
"677"	2983.7436	"c(115545.833, 119793.178)"
"684"	301.7793	"c(112241.866, 121989.02)"
"696"	1149.3597	"c(123086.879, 123506.68)"
"726"	188.9246	"c(109275.809, 124411.759)"
"728"	67.3778	"c(108713.141, 120948.624)"
"733"	549.5449	"c(110841.376, 119246.384)"
"735"	101.8955	"c(140496.188, 102813.94)"
"780"	2214.3314	"c(143090.014, 121022.011)"
"791"	94.186	"c(121349.966, 127171.406)"
"802"	734.9025	"c(142699.244, 127490.916)"
"803"	357.5528	"c(128621.324, 124428.182)"
"807"	284.9274	"c(138075.541, 127409.205)"
"815"	1188.1509	"c(143158.023, 118070.843)"
"842"	751.3912	"c(134364.247, 110354.411)"
"844"	249.5387	"c(135454.537, 125121.292)"
"855"	218.0707	"c(108022.359, 121472.672)"
"863"	279.6692	"c(131720.163, 123861.193)"
"878"	1210.4866	"c(111527.434, 121316.275)"
"881"	65.9282	"c(118688.442, 125302.54)"
"885"	1008.4651	"c(137445.255, 126556.077)"
"890"	133.8358	"c(101566.097, 121868.532)"
"894"	376.0061	"c(121881.908, 127819.793)"
"901"	82.7225	"c(120432.019, 127471.49)"
"927"	305.3568	"c(129444.538, 127633.25)"
"957"	1601.3772	"c(144206.159, 115958.283)"
"993"	644.3974	"c(115338.979, 125482.71)"
"1012"	161.1518	"c(116608.68, 125395.411)"
"1022"	531.3267	"c(143216.058, 116256.304)"
"1024"	253.397	"c(114762.723, 121557.341)"
"1095"	420.1629	"c(107619.46, 127414.955)"
"1113"	638.8519	"c(110735.142, 126875.923)"
"1152"	300.9876	"c(115526.053, 124379.396)"
"1165"	132.8061	"c(135897.993, 122114.08)"
"1166"	1662.3023	"c(137477.361, 122054.317)"
"1172"	102.28	"c(141111.535, 127053.873)"
"1174"	238.5279	"c(101383.983, 122418.451)"
"1190"	424.4761	"c(121444.01, 127552.414)"
"1200"	118.8031	"c(115503.522, 126081.807)"
"1202"	412.3746	"c(104933.751, 124192.804)"
"1223"	501.1228	"c(138938.091, 123138.424)"
"1296"	936.3923	"c(108700.818, 120574.195)"
"1314"	1290.8045	"c(142771.067, 111745.125)"
"1336"	1056.4179	"c(136233.156, 119380.511)"
"1384"	871.9073	"c(134246.435, 121114.84)"
"1413"	1984.5461	"c(121064.39, 126223.79)"
"1417"	244.4578	"c(139228.48, 124160.841)"
"1430"	181.3199	"c(115348.095, 125315.144)"
"1486"	327.4807	"c(132171.165, 127981.645)"
"1494"	189.1507	"c(120429.403, 126404.188)"
"1495"	200.7534	"c(116178.497, 127185.588)"
"1503"	455.7032	"c(134199.755, 126537.472)"
"1505"	267.2868	"c(132322.472, 111018.458)"
"1508"	2071.3535	"c(122444.855, 127347.472)"
"1538"	1467.3785	"c(126058.967, 119213.18)"
"1561"	332.409	"c(102154.077, 116962.041)"
"1602"	1196.3713	"c(123189.074, 124097.537)"
"1603"	1358.0125	"c(115907.084, 120529.264)"
"1616"	687.0659	"c(137796.919, 122777.674)"
"1640"	338.39	"c(135127.421, 110742.644)"
"1667"	325.742	"c(109657.937, 124051.174)"
"1684"	359.7469	"c(111313.721, 117922.659)"
"1704"	1455.4954	"c(140140.267, 127431.338)"
"1716"	191.5142	"c(140787.465, 127421.586)"
"1722"	731.9186	"c(115257.497, 123987.418)"
"1765"	516.45	"c(139691.922, 122792.198)"
"1816"	878.7402	"c(136177.888, 121377.997)"
