"id","qnb","mvinyr","prfuse","csmptv","weight","pvwlbn","pvwlid","pvwlod","prvwel","rwtank","rwtkrp","rwusbn","rwusid","rwusod","rwtuse","otsrid","otsrod","otsodc","mncdsv","mnnmsv","dtcdsv","dtnmsv","pvcdsv","pvnmsv","dtbtor","byp1","byp2","byp3","byp4","byp5","byp6","byp7","byp8","byp9","ocpp1","ocpp2","ocpp3","ocpp4","ocpp5","ocpp6","ocpp7","ocpp8","ocpp9","hhs_0_19","hhs_20_64","hhs_65_95","hhstt","hhspo_0_19","hhspo_20_64","hhspo_65_95","hhsttpo","hhs_20_95","hhspo_20_95","eqadlt","eqadpo","rprage","rprgen","rprjob","rped6c","rped4c","income","inceqa","iceqac1","iceqac2","inccat","fseaid","dfpay","TEH","dwowsh","dwltyp","dwcsy9","dwcsy6","dwcsy5","livara","lareqa","nbktch","nblvrm","nbbdrm","nbbtrm","nbtoil","pldisw","pmnpol","pmnprp","tmppol","tmpprp","garden","dshwas","dshwrp","dshwas_3lvs","wasmch","wasmrp","wasmch_3lvs","bath","bathrp","bath_3lvs","shower","shwrrp","shower_3lvs","bthshw","btshrp","efshhd","efshrp","efshhd_3lvs","eftoil","eftlrp","eftoil_3lvs","eftech","efterp","drtoil","drtlrp","drtoil_3lvs","aoi","hlpwtk","cfdiwq","ppusvl","bdgmtr","lmtmtr","dwelocp","csptdo","cspppd","cspdwo","cspeqa","cspeqo"
2011,28135,2013,"no",39,1.099513,"no","no","no","no","no","no","no","no","no","no","no","no","no","25014","Braine-L'alleud","25000","Nivelles","20002","Brabant wallon","IECBW",1979,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,1,1,1,1,35,"F","private sector","professional","vocation",1750,21000,"modest","average","modest","no","no",0.825702,"owner - mortgage loan","2 facades","1875-1918","Before 1919","Before 1945",90,90,"1","1","3 or more","1","1","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","no","no","no","bathtub","none","no","no","no","yes","no","yes","yes","no","no","no","no",0.883529411764706,"no","neither confident nor suspicious","yes","no","no",1,39,106.849315068493,106.849315068493,106.849315068493,106.849315068493
2012,24076,1950,"no",63.5,0.570435,"no","no","no","no","no","no","no","no","no","no","no","no","no","63035","Herve","63000","Verviers","60000","Liege","SWDE",1922,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,1,1,1,1,92,"F","(pre)retired","before highschool","before highschool",1250,15000,"modest","modest","modest","no","no",2.056904,"owner - mortgage loan","2 facades","1946-1970","1946-1970","1946-1970",132,132,"1","1","3 or more","1","1","no","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","yes","no","no","no","bathtub","none","no","no","no","no","no","no","no","no","no","no","no",1,"no","neither confident nor suspicious","yes","no","no",1,63.5,173.972602739726,173.972602739726,173.972602739726,173.972602739726
2016,40000,2003,"yes",NA,0.820389,"no","no","no","no","yes","no","yes","yes","yes","both","yes","yes","no","55022","La Louviere","55000","Soignies","50000","Hainaut","SWDE",1975,1975,2005,2008,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,2,2,0,4,2,2,0,4,2,2,2.1,2.1,39,"M","private sector","university","university",5250,30000,"average","higher","higher","no","no",0.564494,"owner - mortgage loan","4 facades","2001-2005","2001 and after","2001 and after",260,123.809523809524,"1","1","3 or more","2","2","no","no","no","no","no","yes","yes","yes","recent_replaced","yes","yes","recent_replaced","yes","no","yes","yes","no","yes","both","none","yes","yes","recent_replaced","yes","no","yes","yes","yes","no","no","no",0.728235294117647,"no","confident","yes","no","no",0.923076923076923,NA,NA,NA,NA,NA
2017,20194,2006,"no",29.07,0.402072,"no","no","no","no","no","no","yes","no","yes","outdoor","no","yes","yes","56085","Estinnes","56000","Thuin","50000","Hainaut","SWDE",1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,1,NA,1,NA,80,"F","(pre)retired","higher not university","university",1250,15000,"modest","modest","modest","no","no",1.011912,"owner - mortgage loan","4 facades","1991-2000","1991-2000","1991-2000",150,150,"1","1","2","1","1","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","shower","none","no","no","no","no","no","no","no","no","no","no","no",1,"no","neither confident nor suspicious","yes","no","no",0.980769230769231,29.64,79.6438356164384,NA,79.6438356164384,NA
2019,25990,1938,"no",16.88,0.780099,"no","no","no","no","yes","no","yes","yes","yes","both","yes","yes","no","53082","Colfontaine","53000","Mons","50000","Hainaut","SWDE",1919,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,1,1,1,1,95,"F","(pre)retired","before highschool","before highschool",1250,15000,"modest","modest","modest","no","no",0.897988,"owner","2 facades","1875-1918","Before 1919","Before 1945",75,75,"1","1","1","1","1","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","none","none","no","no","no","no","no","no","no","no","no","no","no",1,"no","confident","yes","no","no",1,16.88,46.2465753424658,46.2465753424658,46.2465753424658,46.2465753424658
2023,20200,1969,"no",62.53,0.780099,"no","no","no","no","yes","no","yes","no","yes","outdoor","no","yes","yes","52015","Courcelles","52000","Charleroi","50000","Hainaut","SWDE",1945,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,NA,2,NA,1.5,NA,72,"M","(pre)retired","before highschool","before highschool",2250,18000,"modest","modest","modest","no","no",1.126054,"owner","3 facades","1875-1918","Before 1919","Before 1945",170,113.333333333333,"1","1","3 or more","1","2","no","no","no","no","no","yes","no","no","no","yes","yes","recent_replaced","yes","no","yes","no","no","no","bathtub","none","yes","no","yes","yes","yes","recent_replaced","yes","yes","no","no","no",0.728235294117647,"no","rather suspicious","yes","no","no",0.961538461538462,65.0312,85.6575342465753,NA,114.2100456621,NA
2024,40000,2010,"yes",NA,0.82939,"no","no","no","no","no","no","no","no","no","no","no","no","no","62063","Liege","62000","Liege","60000","Liege","CILE",1978,1971,2005,NA,NA,NA,NA,NA,NA,1,1,0.25,NA,NA,NA,NA,NA,NA,1,2,0,3,0.25,2,0,2.25,2,2,1.8,1.575,43,"M","private sector","higher not university","university",5250,35000,"average","higher","higher","no","no",0.246773,"owner - mortgage loan","appartment/studio","2006 and after","2001 and after","2001 and after",113,62.7777777777778,"1","1","2","2","2","no","no","no","no","no","yes","yes","yes","recent_replaced","yes","no","yes","yes","yes","recent_replaced","yes","yes","recent_replaced","both","both","no","no","no","yes","yes","recent_replaced","yes","yes","no","no","no",0.883529411764706,"no","confident","yes","no","no",0.961538461538462,NA,NA,NA,NA,NA
2025,16739,2008,"no",7.77,0.809218,"no","no","no","no","yes","no","yes","yes","yes","both","yes","yes","no","57081","Tournai","57000","Tournai","50000","Hainaut","SWDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,"owner","4 facades","1946-1970","1946-1970","1946-1970",170,NA,"1","1","3 or more","2","2","no","no","no","no","no","yes","yes","yes","recent_replaced","yes","yes","recent_replaced","yes","yes","recent_replaced","yes","yes","recent_replaced","both","both","yes","yes","recent_replaced","yes","yes","recent_replaced","yes","yes","no","no","no",0.728235294117647,"no","rather confident","yes","no","no",NA,NA,NA,NA,NA,NA
2027,40000,2007,"no",89,0.277741,"no","no","no","no","no","no","no","no","no","no","no","no","no","25110","Waterloo","25000","Nivelles","20002","Brabant wallon","IECBW",1945,1945,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,0,2,2,2,2,1.5,1.5,69,"M","(pre)retired","university","university",4750,38000,"average","higher","higher","no","no",0.668465,"owner","appartment/studio","2001-2005","2001 and after","2001 and after",150,100,"1","1","3 or more","2","2","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","both","none","yes","no","yes","yes","no","yes","yes","no","no","no","no",0.728235294117647,"no","confident","yes","no","no",0.961538461538462,92.56,121.917808219178,126.794520547945,162.557077625571,169.059360730594
2031,40000,2006,"no",56,0.277741,"no","no","no","no","yes","no","yes","yes","yes","both","yes","yes","no","25124","Walhain","25000","Nivelles","20002","Brabant wallon","SWDE",1934,1946,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,0,2,2,2,2,1.5,1.5,80,"M","(pre)retired","higher not university","university",3250,26000,"average","average","average","no","no",0.701883,"owner","4 facades","2006 and after","2001 and after","2001 and after",140,93.3333333333333,"1","1","2","1","2","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","both","none","yes","no","yes","yes","no","yes","yes","no","no","no","no",0.728235294117647,"no","confident","yes","no","no",0.942307692307692,59.4285714285714,76.7123287671233,81.4090019569472,102.283105022831,108.545335942596
