"id","parcarea","bldarea"
34,1542.9297,128.999063104839
36,122.5317,122.532788281562
37,232.7401,58.4024913359899
39,252.4652,83.8224190688634
42,166.2485,48.9976996440673
44,3628.7689,287.464204558768
45,3601.1691,156.145269182744
46,248.3777,81.2310183462687
47,207.3283,66.154618556262
48,665.3278,168.910541082558
50,1265.5189,180.087916208737
51,302.7415,120.904816256152
53,1002.9381,85.2245692442539
54,1624.6511,171.580981607782
55,413.9449,81.7636206009047
56,68.3352,68.3368881313363
57,196.6446,68.2570867389768
59,108.2019,31.2692099571577
60,1713.6924,102.940928803873
64,581.2571,88.2160183556261
66,303.0354,59.0717140287743
68,472.9321,99.0172642641264
71,365.4172,63.8826824969146
73,245.1917,55.2940858974471
74,1311.1291,142.776803259272
75,204.6633,55.6472702833216
76,1413.176,529.5127806128
79,275.2881,59.3350859148813
80,578.2046,117.464078018325
82,1097.7663,140.26878271425
83,201.4677,90.704686362471
84,1670.1736,162.61156279454
86,916.5113,166.752893685305
87,545.5633,80.9300550809421
89,979.802,136.891400224151
90,164.436,56.6129092881456
94,389.7439,189.450522889034
96,361.1598,196.107406070994
97,363.4734,216.882301718753
100,161.1737,87.3779270152154
101,2083.2696,164.783937495929
102,475.4889,97.1311873510422
103,280.9878,223.526376252528
104,297.3198,59.9354076134332
113,174.612,72.4176422684686
114,721.1739,138.560363113065
116,572.4117,95.3617293105926
117,82.2706,38.6218303751666
118,1011.3474,86.7535540619574
120,72.0262,72.0267772929656
125,170.4852,53.9905180216738
126,819.0334,99.3123939019279
130,445.2788,131.381025867828
131,220.9473,110.922630899993
132,316.1983,76.1626513222582
136,151.3355,90.5444909822545
137,733.2925,243.294321253457
139,340.6494,70.8748139046365
141,228.5259,90.0004594159236
142,240.5815,84.1180457337105
144,374.4928,87.2599895311287
145,795.4174,144.565311410275
146,364.9475,89.2196850363107
148,3782.5168,439.519127094729
149,181.7163,128.477941295598
150,244.1534,244.15786089655
151,32.6689,32.6696141708235
152,1143.3025,93.7502215280547
153,250.5872,86.6213210927017
154,1572.637,255.762814374059
155,221.0249,221.030053402603
157,936.3498,160.321873800945
158,1167.3429,120.610855536564
161,171.7074,49.2803347386653
162,585.5047,111.954727116507
163,1001.8763,99.5680464993929
164,170.6665,80.3903789597389
166,808.6759,105.571626567864
169,15440.5136,0
170,147.4415,67.4246363858983
171,960.2395,147.593602058245
172,1906.9341,347.530344471103
173,1035.5764,137.836825110251
174,201.3362,74.5343366691377
175,86.9821,29.5877179626802
176,469.3025,469.309383655083
177,436.8317,102.080610990815
178,69.9898,41.7568923028884
179,2635.4533,267.734017308263
182,1614.5102,143.949601359207
184,1108.2643,82.9234903106408
185,926.1929,109.117799990243
187,276.594,81.8354619730962
188,64.4635,29.0253876441275
190,1950.5375,81.8361455048434
191,890.573,188.097564604412
192,1576.5617,584.869682673641
194,448.3531,150.4128692144
195,785.4348,158.84581773583
196,44.5387,39.9495026824297
197,181.4127,74.7801667203385
199,3096.4419,128.834995450237
200,200.3825,96.9787456506165
201,1127.9744,189.087751014355
202,670.8049,0
205,279.8104,134.538707667496
206,931.6571,210.582318205728
207,313.3039,76.4318459023198
208,1344.1108,141.152191909304
209,175.7576,78.7652252956759
210,550.4626,126.762516690302
211,147.4757,87.7036368014669
215,145.3927,91.8325947576959
216,1621.9311,97.4655199594199
217,567.9906,114.244692276698
218,613.1323,117.000302036769
219,535.0373,163.52381717955
221,55.5387,55.539510005965
222,1098.4886,213.01380808861
223,258.5564,51.9960150453844
226,1707.3321,106.538612294593
229,1000.2485,171.553991997382
231,966.7987,110.080064099879
232,850.1778,229.682475013426
237,1023.2166,77.6702263032785
238,2297.8167,880.348423505377
239,1235.669,129.770553458977
240,695.5465,139.339240581554
242,314.7033,101.939127001038
244,1584.9286,146.759531080446
245,359.8297,57.0414749598858
250,380.3716,73.5005488531024
252,257.57,57.8825785227236
254,956.0182,432.938493398517
255,1750.6845,164.365204993928
256,312.491,92.2385904609328
257,225.5268,85.3688490440254
258,213.0693,130.875469416438
260,1162.6518,259.37553086345
261,646.2991,161.565481681551
262,1113.7881,110.10610536579
263,215.3126,52.9517221848782
264,204.0967,69.3403832600743
265,503.4444,503.44925450423
266,1057.6202,125.789017247094
268,231.9556,88.3510836173664
269,326.0729,35.7215516792348
270,513.4453,80.3133892296537
271,538.7094,95.4876415027538
277,381.4929,67.7659998720555
279,384.0855,69.63514956375
280,524.1181,141.317971033779
281,1314.2263,147.150226582773
284,239.4335,83.3566303001717
286,236.1567,91.6906960204942
294,210.0084,93.8048412149874
295,302.6512,75.9301292697201
296,186.991,103.555907726797
298,285.1199,83.5873029674403
299,55.4307,41.2999612789135
300,785.5625,216.788666822187
301,222.498,201.714754104789
302,829.9695,138.198743025772
304,225.1172,88.4900922364177
306,299.5622,92.2026374718844
307,857.3201,154.058275935625
308,121.3186,49.824492166983
309,1948.3509,254.520997076062
310,712.8491,476.028077699069
312,498.8272,367.980769128975
314,1132.133,165.573240027123
315,310.3987,121.484901861644
316,160.0292,77.0124674474355
317,455.0278,138.171052390477
318,1982.9566,66.8772846529027
319,3512.184,88.8436551783234
321,1021.0357,63.3393193415832
322,241.0653,73.1084157780278
323,314.6335,64.0404654026916
325,687.5796,385.131264177035
327,76.0708,62.447761646763
328,2865.2127,501.748945926902
329,163.0592,82.3480509362416
331,116.3148,76.1692752798699
332,156.3085,72.8699093290197
333,245.764,90.0841084157582
334,2650.0759,159.059109552119
335,108.0477,68.6344349413412
338,197.4412,92.7741556826513
340,434.0536,137.782878505117
341,248.9389,48.9529128110153
342,137.4864,96.403013168514
343,509.5029,73.8590204810316
344,155.3335,40.1440847719787
345,137.9541,33.6170849934279
346,144.1379,144.139293623739
348,1130.7325,200.2187314271
350,175.5038,64.4757620100863
351,154.1581,154.160339420836
352,308.9084,89.9629797558737
353,975.764,217.637817543779
356,1392.8465,143.600090347347
357,1117.5672,107.846861581784
358,148.0498,52.7095855509688
359,2263.0089,101.628768760551
361,349.5895,81.4164410642552
362,514.1069,96.862119213969
363,132.7841,132.782583834771
364,224.3513,39.8106426135637
365,1015.6078,137.888743791846
367,1625.2207,0
368,161.9888,84.1460097760864
369,159.2607,69.3865104691067
370,57.2563,57.2573363402043
371,193.9501,149.040147285617
373,939.7545,171.48869487222
374,129.022,85.4592144672642
375,298.7272,97.0652508198982
377,218.372,104.744726717741
379,295.1307,295.134610502129
382,1416.9173,136.341421775112
383,85.0875,85.0890882077056
384,585.6863,97.4300394835882
386,195.9268,74.0835790526373
388,1386.2262,178.683681952301
389,150.4829,69.7430957778997
390,136.5707,60.1332726540422
391,1092.3677,116.918329076027
392,778.7378,144.034246215393
393,2010.9111,208.775399850652
394,100.4883,100.489441554848
395,410.1951,51.4105669440614
